PlayerValue,DealerValue,Result,InitialBalance,FinalBalance
22,11,l,10000,9985
20,10,t,9985,9985
19,10,l,9985,9970
23,8,l,9970,9955
19,11,l,9955,9940
24,10,l,9940,9925
16,2,l,9925,9910
17,10,l,9910,9895
18,3,w,9895,9910
14,2,l,9910,9895
18,2,l,9895,9880
17,3,l,9880,9865
17,10,l,9865,9850
25,10,l,9850,9835
17,4,t,9835,9835
21,7,w,9835,9850
14,2,l,9850,9835
18,11,l,9835,9820
18,10,w,9820,9835
25,10,l,9835,9820
19,5,w,9820,9835
16,4,w,9835,9850
20,6,w,9850,9865
26,8,l,9865,9850
20,2,w,9850,9865
21,4,w,9865,9880
18,7,w,9880,9895
24,10,l,9895,9880
16,3,w,9880,9895
19,8,t,9895,9895
12,5,w,9895,9910
18,4,w,9910,9925
19,10,w,9925,9940
17,3,w,9940,9955
18,10,l,9955,9940
22,10,l,9940,9925
23,7,l,9925,9910
14,2,w,9910,9925
20,10,l,9925,9910
18,7,w,9910,9925
23,10,l,9925,9910
18,3,w,9910,9925
23,10,l,9925,9910
25,10,l,9910,9895
24,8,l,9895,9880
18,10,l,9880,9865
24,10,l,9865,9850
21,7,w,9850,9865
18,9,l,9865,9850
13,4,l,9850,9835
14,3,l,9835,9820
17,10,w,9820,9835
20,10,w,9835,9850
19,10,l,9850,9835
21,9,w,9835,9850
21,7,w,9850,9865
17,2,w,9865,9880
16,3,l,9880,9865
23,10,l,9865,9850
20,11,w,9850,9865
19,8,w,9865,9880
20,10,w,9880,9895
20,6,w,9895,9910
19,8,w,9910,9925
21,8,w,9925,9940
17,5,t,9940,9940
21,10,w,9940,9965
18,9,w,9965,9990
14,2,l,9990,9965
20,3,l,9965,9940
13,2,l,9940,9915
16,4,l,9915,9865
22,7,l,9865,9815
17,5,w,9815,9865
22,10,l,9865,9815
18,4,l,9815,9765
16,2,w,9765,9815
22,11,l,9815,9765
19,9,t,9765,9765
15,5,w,9765,9815
21,10,w,9815,9865
21,2,w,9865,9915
16,2,l,9915,9865
20,6,w,9865,9915
26,11,l,9915,9865
17,3,w,9865,9915
25,10,l,9915,9865
19,10,w,9865,9915
26,11,l,9915,9865
21,5,w,9865,9915
19,10,w,9915,9965
20,7,w,9965,9990
18,7,w,9990,10015
17,10,l,10015,9990
19,7,w,9990,10015
19,5,l,10015,9990
14,5,l,9990,9940
24,8,l,9940,9890
19,8,w,9890,9940
15,3,l,9940,9890
18,10,l,9890,9840
20,10,t,9840,9840
23,8,l,9840,9825
15,6,l,9825,9810
14,5,l,9810,9795
17,2,l,9795,9770
14,6,l,9770,9745
12,5,w,9745,9795
17,7,l,9795,9745
25,10,l,9745,9695
20,5,w,9695,9745
19,2,l,9745,9695
26,9,l,9695,9645
19,10,w,9645,9695
25,10,l,9695,9645
18,3,w,9645,9695
13,6,l,9695,9645
21,4,w,9645,9695
14,4,l,9695,9645
19,7,w,9645,9695
25,10,l,9695,9645
16,3,l,9645,9595
14,3,l,9595,9545
16,4,w,9545,9595
19,3,w,9595,9645
17,10,l,9645,9595
20,2,w,9595,9645
14,2,w,9645,9695
17,6,t,9695,9695
17,8,l,9695,9645
21,3,w,9645,9695
17,10,l,9695,9645
20,7,w,9645,9695
23,10,l,9695,9645
20,4,w,9645,9695
20,11,t,9695,9695
19,8,l,9695,9645
20,11,w,9645,9695
16,5,w,9695,9745
15,3,l,9745,9695
19,10,t,9695,9695
20,6,l,9695,9645
23,8,l,9645,9595
18,2,l,9595,9545
15,3,l,9545,9495
19,2,l,9495,9445
18,11,t,9445,9445
25,8,l,9445,9395
18,10,l,9395,9345
19,7,w,9345,9395
23,10,l,9395,9345
23,10,l,9345,9295
17,10,l,9295,9245
25,10,l,9245,9195
18,9,w,9195,9245
25,7,l,9245,9195
